query_id,title,Query,Narrative,Annotations
1,coronavirus origin,origin covid-19,"seeking range of information about the SARS-CoV-2 virus's origin, including its evolution, animal source, and first transmission into humans",1
2,coronavirus response weather changes,coronavirus respond changes weather,seeking range of information about the SARS-CoV-2 virus viability in different weather/climate conditions as well as information related to transmission of the virus in different climate conditions,1
3,coronavirus immunity,sars-cov2 infected people develop immunity cross protection possible,seeking studies of immunity developed due to infection with SARS-CoV2 or cross protection gained due to infection with other coronavirus types,1
4,people die coronavirus,causes death covid-19,Studies looking at mechanisms of death from Covid-19.,0
5,animal models covid-19,drugs active sars-cov sars-cov-2 animal studies,Papers that describe the results  of testing drugs that bind to spike proteins of the virus or any other drugs in any animal models. Papers about SARS-CoV-2 infection in cell culture assays are also relevant.,1
6,coronavirus test rapid testing,types rapid testing covid-19 developed,Looking for studies identifying ways to diagnose Covid-19 more rapidly.,1
7,serological tests coronavirus,serological tests detect antibodies coronavirus,Looking for assays that measure immune response to COVID-19 that will help determine past infection and subsequent possible immunity.,0
8,coronavirus reporting,lack testing availability led underreporting true incidence covid-19,Looking for studies answering questions of impact of lack of complete testing for Covid-19 on incidence and prevalence of Covid-19.,0
9,coronavirus canada,covid-19 affected canada,"seeking data related to infections (confirm, suspected, and projected) and health outcomes (symptoms, hospitalization, intensive care, mortality)",0
10,coronavirus social distancing impact,social distancing impact slowing spread covid-19,seeking specific information on studies that have measured COVID-19's transmission in one or more social distancing (or non-social distancing) approaches,1
11,coronavirus hospital rationing,guidelines triaging patients infected coronavirus,"Seeking information on any guidelines for prioritizing COVID-19 patients infected with coronavirus based on demographics, clinical signs, serology and other tests.",1
12,coronavirus quarantine,best practices hospitals home maintaining quarantine,Seeking information on best practices for activities and duration of quarantine for those exposed and/ infected to COVID-19 virus.,0
13,coronavirus spread,transmission routes coronavirus,"Looking for information on all possible ways to contract COVID-19 from people, animals and objects",1
14,coronavirus super spreaders,evidence related covid-19 super spreaders,"seeking range of information related to the number and proportion of super spreaders, their patterns of behavior that lead to spread, and potential prevention strategies targeted specifically toward super spreaders",0
15,coronavirus outside body,long coronavirus live outside body,"seeking range of information on the SARS-CoV-2's virus's survival in different environments (surfaces, liquids, etc.) outside the human body while still being viable for transmission to another human",1
16,long coronavirus survive surfaces,long coronavirus remain stable surfaces,"Studies of time SARS-CoV-2 remains stable after being deposited from an infected person on everyday surfaces in a household or hospital setting, such as through coughing or touching objects.",1
17,coronavirus clinical trials,clinical trials available coronavirus,seeking specific COVID-19 clinical trials ranging from trials in recruitment to completed trials with results,1
